CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PoliceStationID,DistrictID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,IncidentFromDate,IncidentToDate,latitude,longitude,BriefFacts,hour,day_of_week,district_crime_share,hour_deviation,anomaly_score,anomaly_raw_score
923,100010002202516181,202516181,2025-10-05,2,1,1,2,6,2,2025-10-05 00:13:05,2025-10-05 00:13:05,12.888779,77.658968,Chain Snatching reported near Bengaluru PS-2 jurisdiction.,0,6,0.5077730275942479,3.9090285103813174,-1,-0.06973558786255518
7491,100010001202514586,202514586,2025-09-21,1,1,1,2,6,4,2025-09-21 00:31:39,2025-09-21 00:31:39,12.840293,77.521168,Chain Snatching reported near Bengaluru PS-1 jurisdiction.,0,6,0.5077730275942479,3.9090285103813174,-1,-0.06973558786255518
15186,100010001202410955,202410955,2024-07-29,1,1,1,2,6,2,2024-07-29 00:52:37,2024-07-29 00:52:37,12.8349,77.529762,Chain Snatching reported near Bengaluru PS-1 jurisdiction.,0,0,0.5077730275942479,3.9090285103813174,-1,-0.06497787913996378
15871,100010001202417595,202417595,2024-09-13,1,1,2,2,6,1,2024-09-13 00:20:31,2024-09-13 00:20:31,12.845898,77.517792,Chain Snatching reported near Bengaluru PS-1 jurisdiction.,0,4,0.5077730275942479,3.9090285103813174,-1,-0.06167742655670849
10146,100070030202410918,202410918,2024-03-17,30,7,2,6,13,2,2024-03-17 00:12:59,2024-03-17 00:12:59,15.178857,77.008763,Rioting reported near Ballari PS-1 jurisdiction.,0,6,0.6356011183597391,3.0627048912593815,-1,-0.0616255281644863
12576,100050020202413781,202413781,2024-01-28,20,5,2,2,6,2,2024-01-28 00:14:16,2024-01-28 00:14:16,15.295081,75.06835,Chain Snatching reported near Hubballi-Dharwad PS-2 jurisdiction.,0,6,0.07363420427553444,3.9090285103813174,-1,-0.06133905303472653
3414,100010004202613892,202613892,2026-03-01,4,1,1,2,6,2,2026-03-01 01:59:51,2026-03-01 01:59:51,12.827973,77.566964,Chain Snatching reported near Bengaluru PS-4 jurisdiction.,1,6,0.5077730275942479,3.701611742360312,-1,-0.0603621488871251
9901,100070031202416595,202416595,2024-08-25,31,7,2,2,6,2,2024-08-25 00:24:16,2024-08-25 00:24:16,15.219069,76.850644,Chain Snatching reported near Ballari PS-2 jurisdiction.,0,6,0.027958993476234855,3.9090285103813174,-1,-0.0596848014889394
2053,100060026202410485,202410485,2024-03-03,26,6,2,2,6,1,2024-03-03 00:40:45,2024-03-03 00:40:45,17.220805,76.876571,Chain Snatching reported near Kalaburagi PS-3 jurisdiction.,0,6,0.027589134125636672,3.9090285103813174,-1,-0.05945276958732082
5771,100060028202611840,202611840,2026-05-11,28,6,2,5,11,2,2026-05-11 01:04:03,2026-05-11 01:04:03,17.305852,76.761619,Drug Peddling reported near Kalaburagi PS-5 jurisdiction.,1,0,0.6897283531409168,2.939715951296488,-1,-0.057881592922903735
1369,100030012202510612,202510612,2025-09-01,12,3,2,2,6,1,2025-09-01 00:56:50,2025-09-01 00:56:50,13.034142,74.797557,Chain Snatching reported near Mangaluru PS-4 jurisdiction.,0,0,0.03384476534296029,3.9090285103813174,-1,-0.05772383073765941
11917,100010004202512806,202512806,2025-07-13,4,1,1,2,6,2,2025-07-13 02:49:49,2025-07-13 02:49:49,12.840313,77.565437,Chain Snatching reported near Bengaluru PS-4 jurisdiction.,2,6,0.5077730275942479,3.494194974339307,-1,-0.05711763402695069
9855,100080036202517106,202517106,2025-10-06,36,8,2,2,6,1,2025-10-06 00:58:51,2025-10-06 00:58:51,13.470758,77.179328,Chain Snatching reported near Tumakuru PS-2 jurisdiction.,0,0,0.08445532435740515,3.9090285103813174,-1,-0.056599687701049506
12489,100010004202513803,202513803,2025-10-27,4,1,2,2,6,3,2025-10-27 03:23:32,2025-10-27 03:23:32,12.849321,77.564279,Chain Snatching reported near Bengaluru PS-4 jurisdiction.,3,0,0.5077730275942479,3.2867782063183015,-1,-0.05450496748471456
14320,100010003202416304,202416304,2024-02-15,3,1,2,2,6,3,2024-02-15 01:02:43,2024-02-15 01:02:43,13.019944,77.694963,Chain Snatching reported near Bengaluru PS-3 jurisdiction.,1,3,0.5077730275942479,3.701611742360312,-1,-0.05238270344842855
9749,100020008202415588,202415588,2024-04-21,8,2,1,3,8,3,2024-04-21 00:18:09,2024-04-21 00:18:09,12.261122,76.63496,Dowry Harassment reported near Mysuru PS-4 jurisdiction.,0,6,0.6258309591642925,3.0357754588370374,-1,-0.052328953179746174
17321,100040018202514615,202514615,2025-11-16,18,4,2,4,9,4,2025-11-16 00:44:27,2025-11-16 00:44:27,15.872034,74.598662,Online Financial Fraud reported near Belagavi PS-4 jurisdiction.,0,6,0.0707196029776675,3.290651457409326,-1,-0.050034101506616135
4773,100030011202414955,202414955,2024-11-25,11,3,2,2,6,2,2024-11-25 01:21:34,2024-11-25 01:21:34,12.857146,74.733956,Chain Snatching reported near Mangaluru PS-3 jurisdiction.,1,0,0.03384476534296029,3.701611742360312,-1,-0.04967231891057022
11549,100090041202612765,202612765,2026-03-14,41,9,2,2,6,3,2026-03-14 00:09:14,2026-03-14 00:09:14,13.950382,75.456976,Chain Snatching reported near Shivamogga PS-1 jurisdiction.,0,5,0.07160194174757281,3.9090285103813174,-1,-0.049498114150153816
866,100090045202614270,202614270,2026-05-02,45,9,2,2,6,4,2026-05-02 00:10:59,2026-05-02 00:10:59,13.910546,75.70968,Chain Snatching reported near Shivamogga PS-5 jurisdiction.,0,5,0.07160194174757281,3.9090285103813174,-1,-0.049498114150153816
2524,100010004202417971,202417971,2024-01-22,4,1,2,2,6,2,2024-01-22 04:52:51,2024-01-22 04:52:51,12.833198,77.564761,Chain Snatching reported near Bengaluru PS-4 jurisdiction.,4,0,0.5077730275942479,3.0793614382972967,-1,-0.04910565825944846
4626,100080036202515958,202515958,2025-02-17,36,8,2,2,6,4,2025-02-17 01:40:09,2025-02-17 01:40:09,13.464085,77.170571,Chain Snatching reported near Tumakuru PS-2 jurisdiction.,1,0,0.08445532435740515,3.701611742360312,-1,-0.04866745665082306
6277,100080040202416591,202416591,2024-12-23,40,8,2,2,6,3,2024-12-23 01:13:43,2024-12-23 01:13:43,13.368632,77.066918,Chain Snatching reported near Tumakuru PS-6 jurisdiction.,1,0,0.08445532435740515,3.701611742360312,-1,-0.04866745665082306
6220,100040018202417194,202417194,2024-06-18,18,4,2,2,6,4,2024-06-18 00:40:05,2024-06-18 00:40:05,15.88738,74.621251,Chain Snatching reported near Belagavi PS-4 jurisdiction.,0,1,0.05955334987593052,3.9090285103813174,-1,-0.0479219462386592
11589,100030010202413952,202413952,2024-04-06,10,3,2,2,6,2,2024-04-06 00:04:41,2024-04-06 00:04:41,13.012492,74.931186,Chain Snatching reported near Mangaluru PS-2 jurisdiction.,0,5,0.03384476534296029,3.9090285103813174,-1,-0.04743594555042474
12339,100050022202512712,202512712,2025-06-15,22,5,2,5,11,2,2025-06-15 00:16:00,2025-06-15 00:16:00,15.261775,75.059071,Drug Peddling reported near Hubballi-Dharwad PS-4 jurisdiction.,0,6,0.08194774346793349,3.1064271825815433,-1,-0.04709994350567592
3791,100060027202512373,202512373,2025-11-25,27,6,1,5,11,4,2025-11-25 00:37:22,2025-11-25 00:37:22,17.319981,76.746794,Drug Peddling reported near Kalaburagi PS-4 jurisdiction.,0,1,0.6897283531409168,3.1064271825815433,-1,-0.04675105076094144
8077,100080039202516920,202516920,2025-05-14,39,8,2,2,6,1,2025-05-14 00:33:11,2025-05-14 00:33:11,13.417239,77.077844,Chain Snatching reported near Tumakuru PS-5 jurisdiction.,0,2,0.08445532435740515,3.9090285103813174,-1,-0.04650449798949885
13288,100040018202416147,202416147,2024-10-21,18,4,2,2,6,1,2024-10-21 01:56:58,2024-10-21 01:56:58,15.89565,74.620113,Chain Snatching reported near Belagavi PS-4 jurisdiction.,1,0,0.05955334987593052,3.701611742360312,-1,-0.046025293430089875
12662,100060028202612858,202612858,2026-04-13,28,6,2,2,6,1,2026-04-13 01:57:50,2026-04-13 01:57:50,17.301665,76.784721,Chain Snatching reported near Kalaburagi PS-5 jurisdiction.,1,0,0.027589134125636672,3.701611742360312,-1,-0.04591965942860843
11296,100100048202413366,202413366,2024-01-07,48,10,2,2,5,1,2024-01-07 23:42:22,2024-01-07 23:42:22,14.508322,75.918869,Vehicle Theft reported near Davanagere PS-3 jurisdiction.,23,6,0.06612685560053981,3.123993792452915,-1,-0.04568540635892482
5774,100020006202414599,202414599,2024-01-01,6,2,1,3,8,4,2024-01-01 01:25:09,2024-01-01 01:25:09,12.309619,76.645863,Dowry Harassment reported near Mysuru PS-2 jurisdiction.,1,0,0.6258309591642925,2.863693058508874,-1,-0.04526613804528623
13066,100060025202515979,202515979,2025-06-01,25,6,2,5,11,3,2025-06-01 02:37:37,2025-06-01 02:37:37,17.388531,76.89731,Drug Peddling reported near Kalaburagi PS-2 jurisdiction.,2,6,0.6897283531409168,2.773004720011433,-1,-0.04502159343554091
16811,100010001202517433,202517433,2025-11-28,1,1,1,2,6,1,2025-11-28 02:53:00,2025-11-28 02:53:00,12.831981,77.518981,Chain Snatching reported near Bengaluru PS-1 jurisdiction.,2,4,0.5077730275942479,3.494194974339307,-1,-0.04473197374781346
