DistrictID,name,population_density,literacy_rate,urbanization_pct,total_incidents,crime_rate_proxy
1,Bengaluru Urban,4381,87.7,91.0,5146,1174.6176671992696
2,Mysuru,481,72.6,46.6,2106,4378.378378378378
3,Mangaluru (Dakshina Kannada),460,88.6,46.4,2216,4817.391304347826
4,Belagavi,316,73.9,27.9,806,2550.632911392405
5,Hubballi-Dharwad,401,79.4,58.1,842,2099.7506234413963
6,Kalaburagi,316,63.7,32.9,2356,7455.696202531645
7,Ballari,332,67.4,39.6,2146,6463.855421686748
8,Tumakuru,268,74.5,24.6,817,3048.507462686567
9,Shivamogga,246,81.3,30.9,824,3349.5934959349593
10,Davanagere,331,75.7,34.9,741,2238.6706948640485
