CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PoliceStationID,DistrictID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,IncidentFromDate,IncidentToDate,latitude,longitude,BriefFacts
1,100100050202611890,202611890,2026-01-24,50,10,1,3,7,1,2026-01-24 03:43:01,2026-01-24 03:43:01,14.36225,75.907943,Assault on Woman reported near Davanagere PS-5 jurisdiction.
2,100020005202502263,202502263,2025-09-08,5,2,1,3,8,1,2025-09-08 22:18:55,2025-09-08 22:18:55,12.176024,76.575268,Dowry Harassment reported near Mysuru PS-1 jurisdiction.
3,100020008202509231,202509231,2025-11-05,8,2,1,3,8,1,2025-11-05 19:42:26,2025-11-05 19:42:26,12.271253,76.642194,Dowry Harassment reported near Mysuru PS-4 jurisdiction.
4,100100050202414405,202414405,2024-07-29,50,10,1,3,8,2,2024-07-29 14:29:13,2024-07-29 14:29:13,14.334612,75.882434,Dowry Harassment reported near Davanagere PS-5 jurisdiction.
5,100060025202406893,202406893,2024-02-24,25,6,1,5,11,1,2024-02-24 23:08:39,2024-02-24 23:08:39,17.3904,76.876874,Drug Peddling reported near Kalaburagi PS-2 jurisdiction.
6,100030010202611294,202611294,2026-06-07,10,3,1,1,3,3,2026-06-07 17:33:36,2026-06-07 17:33:36,13.000462,74.9202,Attempt to Murder reported near Mangaluru PS-2 jurisdiction.
7,100100050202610619,202610619,2026-04-24,50,10,1,1,3,2,2026-04-24 13:51:44,2026-04-24 13:51:44,14.352787,75.908572,Attempt to Murder reported near Davanagere PS-5 jurisdiction.
8,100010002202602043,202602043,2026-05-19,2,1,1,2,6,1,2026-05-19 22:20:26,2026-05-19 22:20:26,12.90406,77.680961,Chain Snatching reported near Bengaluru PS-2 jurisdiction.
9,100070034202517046,202517046,2025-06-20,34,7,1,1,1,2,2025-06-20 14:29:50,2025-06-20 14:29:50,15.268479,77.033432,Murder reported near Ballari PS-5 jurisdiction.
10,100010004202500201,202500201,2025-04-03,4,1,2,2,6,3,2025-04-03 19:12:58,2025-04-03 19:12:58,12.840876,77.56637,Chain Snatching reported near Bengaluru PS-4 jurisdiction.
11,100050023202417750,202417750,2024-04-26,23,5,1,6,13,4,2024-04-26 05:50:59,2024-04-26 05:50:59,15.40294,75.091535,Rioting reported near Hubballi-Dharwad PS-5 jurisdiction.
12,100010003202605885,202605885,2026-02-10,3,1,2,4,9,1,2026-02-10 14:55:20,2026-02-10 14:55:20,13.008902,77.720619,Online Financial Fraud reported near Bengaluru PS-3 jurisdiction.
13,100040015202613648,202613648,2026-01-08,15,4,1,6,13,4,2026-01-08 07:25:38,2026-01-08 07:25:38,15.924238,74.502572,Rioting reported near Belagavi PS-1 jurisdiction.
14,100020005202517313,202517313,2025-03-13,5,2,2,5,12,3,2025-03-13 22:35:55,2025-03-13 22:35:55,12.177075,76.558087,Drug Possession reported near Mysuru PS-1 jurisdiction.
