UnitID,UnitName,DistrictID,latitude,longitude
1,Bengaluru PS-1,1,12.829103,77.527109
2,Bengaluru PS-2,1,12.888563,77.665541
3,Bengaluru PS-3,1,13.02461,77.712254
4,Bengaluru PS-4,1,12.847682,77.571177
5,Mysuru PS-1,2,12.173909,76.559198
6,Mysuru PS-2,2,12.326406,76.657774
7,Mysuru PS-3,2,12.360606,76.699797
8,Mysuru PS-4,2,12.271656,76.624163
9,Mangaluru PS-1,3,13.006929,74.70795
10,Mangaluru PS-2,3,13.005846,74.915442
11,Mangaluru PS-3,3,12.866175,74.752644
12,Mangaluru PS-4,3,13.051264,74.806978
13,Mangaluru PS-5,3,12.791924,74.735015
14,Mangaluru PS-6,3,13.018348,74.887118
15,Belagavi PS-1,4,15.91862,74.508568
16,Belagavi PS-2,4,15.991635,74.46126
17,Belagavi PS-3,4,15.865312,74.596521
18,Belagavi PS-4,4,15.885256,74.606212
19,Hubballi-Dharwad PS-1,5,15.426072,74.987747
20,Hubballi-Dharwad PS-2,5,15.283069,75.060816
21,Hubballi-Dharwad PS-3,5,15.238638,75.043837
22,Hubballi-Dharwad PS-4,5,15.245,75.057392
23,Hubballi-Dharwad PS-5,5,15.405405,75.08345
24,Kalaburagi PS-1,6,17.286281,76.885353
25,Kalaburagi PS-2,6,17.390246,76.889364
26,Kalaburagi PS-3,6,17.201121,76.874793
27,Kalaburagi PS-4,6,17.339942,76.757743
28,Kalaburagi PS-5,6,17.318378,76.765284
29,Kalaburagi PS-6,6,17.457317,76.890749
30,Ballari PS-1,7,15.194784,77.024256
31,Ballari PS-2,7,15.2222,76.840114
32,Ballari PS-3,7,14.99903,76.866036
33,Ballari PS-4,7,15.069722,76.834695
34,Ballari PS-5,7,15.272273,77.03431
35,Tumakuru PS-1,8,13.251688,77.117069
36,Tumakuru PS-2,8,13.453305,77.160156
37,Tumakuru PS-3,8,13.230761,77.009189
38,Tumakuru PS-4,8,13.411397,77.128993
39,Tumakuru PS-5,8,13.412004,77.09583
40,Tumakuru PS-6,8,13.36296,77.075899
41,Shivamogga PS-1,9,13.932758,75.445373
42,Shivamogga PS-2,9,13.794035,75.450995
43,Shivamogga PS-3,9,13.968134,75.655724
44,Shivamogga PS-4,9,13.906548,75.437158
45,Shivamogga PS-5,9,13.894386,75.716936
46,Davanagere PS-1,10,14.605724,76.030034
47,Davanagere PS-2,10,14.317844,75.988017
48,Davanagere PS-3,10,14.518913,75.932891
49,Davanagere PS-4,10,14.394448,75.964089
50,Davanagere PS-5,10,14.347866,75.90223
51,Davanagere PS-6,10,14.450517,76.057945
