station_id,station_name,district
1,Bengaluru PS-1,Bengaluru Urban
2,Bengaluru PS-2,Bengaluru Urban
3,Bengaluru PS-3,Bengaluru Urban
4,Bengaluru PS-4,Bengaluru Urban
5,Mysuru PS-1,Mysuru
6,Mysuru PS-2,Mysuru
7,Mysuru PS-3,Mysuru
8,Mysuru PS-4,Mysuru
9,Mangaluru PS-1,Mangaluru (Dakshina Kannada)
10,Mangaluru PS-2,Mangaluru (Dakshina Kannada)
11,Mangaluru PS-3,Mangaluru (Dakshina Kannada)
12,Mangaluru PS-4,Mangaluru (Dakshina Kannada)
13,Mangaluru PS-5,Mangaluru (Dakshina Kannada)
14,Mangaluru PS-6,Mangaluru (Dakshina Kannada)
15,Belagavi PS-1,Belagavi
16,Belagavi PS-2,Belagavi
17,Belagavi PS-3,Belagavi
18,Belagavi PS-4,Belagavi
19,Hubballi-Dharwad PS-1,Hubballi-Dharwad
20,Hubballi-Dharwad PS-2,Hubballi-Dharwad
21,Hubballi-Dharwad PS-3,Hubballi-Dharwad
22,Hubballi-Dharwad PS-4,Hubballi-Dharwad
23,Hubballi-Dharwad PS-5,Hubballi-Dharwad
24,Kalaburagi PS-1,Kalaburagi
25,Kalaburagi PS-2,Kalaburagi
26,Kalaburagi PS-3,Kalaburagi
27,Kalaburagi PS-4,Kalaburagi
28,Kalaburagi PS-5,Kalaburagi
29,Kalaburagi PS-6,Kalaburagi
30,Ballari PS-1,Ballari
31,Ballari PS-2,Ballari
32,Ballari PS-3,Ballari
33,Ballari PS-4,Ballari
34,Ballari PS-5,Ballari
35,Tumakuru PS-1,Tumakuru
36,Tumakuru PS-2,Tumakuru
37,Tumakuru PS-3,Tumakuru
38,Tumakuru PS-4,Tumakuru
39,Tumakuru PS-5,Tumakuru
40,Tumakuru PS-6,Tumakuru
41,Shivamogga PS-1,Shivamogga
42,Shivamogga PS-2,Shivamogga
43,Shivamogga PS-3,Shivamogga
44,Shivamogga PS-4,Shivamogga
45,Shivamogga PS-5,Shivamogga
46,Davanagere PS-1,Davanagere
47,Davanagere PS-2,Davanagere
48,Davanagere PS-3,Davanagere
49,Davanagere PS-4,Davanagere
50,Davanagere PS-5,Davanagere
51,Davanagere PS-6,Davanagere
